Food Name,Category,Dietary Preference,Ingredients,Cooking Instructions,Spice Level,Cooking Time (mins),Serving Size,Calories,Protein (g),Carbohydrates (g),Fats (g),Step-by-Step Cooking Guide
Pad Thai,Foreign,Vegetarian,"Rice noodles, tofu/shrimp, peanuts, egg",Stir-fry noodles with sauce and toppings.,High,40,1,326,18,16,24,"1. Soak rice noodles. 2. Sauté shrimp, tofu, and eggs. 3. Add noodles, tamarind sauce, and fish sauce. 4. Toss well and garnish with peanuts. 5. Serve with lime wedges."
Pho,Foreign,Non-Vegetarian,"Rice noodles, beef, broth, spices","Simmer broth, add noodles and meat.",High,25,4,444,20,62,1,"1. Simmer beef bones, spices, and herbs for broth. 2. Cook rice noodles. 3. Slice raw beef thinly. 4. Assemble noodles, beef, and broth. 5. Garnish with herbs and lime."
Shawarma,Foreign,Non-Vegetarian,"Chicken/lamb, pita, garlic sauce","Marinate meat, grill, wrap in pita.",Mild,40,4,213,14,58,20,1. Marinate chicken or lamb with spices and yogurt. 2. Grill or roast until cooked. 3. Slice thinly. 4. Wrap in flatbread with garlic sauce and veggies. 5. Serve with pickles.
Bulgogi,Foreign,Non-Vegetarian,"Beef, soy sauce, sugar, garlic","Marinate beef, grill, serve with rice.",Mild,40,4,419,16,11,5,"1. Thinly slice beef and marinate with soy sauce, sugar, and sesame oil. 2. Grill or sauté until caramelized. 3. Serve with rice and lettuce wraps."
Kimchi,Foreign,Probiotic,"Cabbage, chili paste, garlic",Ferment cabbage with spices.,Mild,40,4,132,15,10,20,"1. Salt cabbage and let it sit. 2. Prepare a paste with chili powder, garlic, ginger, and fish sauce. 3. Mix cabbage with the paste. 4. Ferment for a few days. 5. Serve as a side dish."
Dim Sum,Foreign,Non-Vegetarian,"Dumpling wrappers, meat/veggie filling","Fill wrappers, steam until cooked.",High,45,4,444,25,72,14,1. Prepare dumpling dough. 2. Fill with minced meat or veggies. 3. Steam or fry until cooked. 4. Serve with dipping sauce.
Gyoza,Foreign,Non-Vegetarian,"Dumpling wrappers, pork, ginger","Fill, pan-fry, then steam.",High,60,2,464,25,26,9,1. Prepare dumpling wrappers. 2. Fill with minced pork and veggies. 3. Pan-fry until crispy. 4. Serve with soy sauce.
Moussaka,Foreign,Vegetarian,"Eggplant, ground beef, tomato sauce","Layer eggplant & meat, bake.",Mild,50,3,554,19,20,22,1. Layer sliced eggplant and spiced ground meat in a baking dish. 2. Top with béchamel sauce. 3. Bake until golden. 4. Let it cool. 5. Serve warm.
Spaghetti Bolognese,Foreign,Non-Vegetarian,"Spaghetti, ground beef, tomato sauce","Cook meat sauce, mix with spaghetti.",High,25,2,416,30,73,15,"1. Sauté onions, garlic, and ground beef. 2. Add tomatoes, herbs, and simmer. 3. Cook spaghetti. 4. Toss pasta with the sauce. 5. Serve with grated cheese."
Lasagna,Foreign,Vegetarian,"Lasagna sheets, meat sauce, cheese","Layer sheets, sauce, cheese, bake.",High,10,3,208,7,47,19,1. Layer cooked pasta sheets with bolognese sauce and béchamel. 2. Repeat layers and top with cheese. 3. Bake until bubbly and golden. 4. Let it rest. 5. Serve warm.
Carbonara,Foreign,Non-Vegetarian,"Pasta, eggs, pancetta, cheese",Toss pasta with egg mixture and pancetta.,Medium,30,3,363,21,39,4,"1. Cook spaghetti. 2. Sauté pancetta or bacon. 3. Mix eggs, cheese, and pepper. 4. Toss pasta with pancetta and egg mixture. 5. Serve immediately."
French Fries,Foreign,Vegetarian,"Potatoes, oil, salt","Cut, deep-fry until crispy.",Mild,40,2,531,21,35,21,1. Cut potatoes into sticks. 2. Soak in water to remove starch. 3. Fry at 160°C until soft. 4. Increase heat to 190°C and fry until crispy. 5. Serve with ketchup.
Doner Kebab,Foreign,Non-Vegetarian,"Lamb, pita, garlic sauce","Cook meat on a spit, slice, serve in pita.",Medium,15,4,327,29,69,15,1. Marinate meat with spices and yogurt. 2. Stack on a vertical rotisserie and cook. 3. Slice thinly. 4. Serve in flatbread with veggies and sauce.
Schnitzel,Foreign,Non-Vegetarian,"Chicken/pork, breadcrumbs, egg","Bread meat, pan-fry until golden.",Medium,35,3,248,2,15,18,"1. Pound meat thin. 2. Coat with flour, egg, and breadcrumbs. 3. Fry until golden. 4. Serve with lemon wedges."
Goulash,Foreign,Non-Vegetarian,"Beef, paprika, onions, tomatoes",Slow-cook beef with spices.,Mild,25,2,360,24,72,19,"1. Sauté onions and beef. 2. Add paprika, tomatoes, and broth. 3. Simmer until tender. 4. Serve with bread or dumplings."
Fish and Chips,Foreign,Non-Vegetarian,"Fish fillet, potatoes, flour, oil","Batter fish, deep-fry with fries.",Medium,15,2,578,11,59,14,1. Coat fish fillets in batter. 2. Fry until golden. 3. Cut potatoes into sticks and fry. 4. Serve with tartar sauce.
Poutine,Foreign,Vegetarian,"Fries, cheese curds, gravy","Layer fries, curds, pour hot gravy.",Medium,10,2,155,12,14,5,1. Cut potatoes into fries and fry. 2. Top with cheese curds. 3. Pour hot gravy over the fries. 4. Serve immediately.
Bagel,Foreign,Vegetarian,"Flour, yeast, sugar, water","Shape dough, boil, bake.",Mild,45,2,250,26,37,3,"1. Prepare dough with flour, yeast, and water. 2. Shape into rings and boil. 3. Bake until golden. 4. Serve with cream cheese or toppings."
Cheesecake,Foreign,Vegetarian,"Cream cheese, sugar, eggs, crust","Mix, pour over crust, bake.",High,25,3,223,6,30,13,"1. Mix crushed biscuits and butter for the base. 2. Blend cream cheese, sugar, and eggs for the filling. 3. Bake in a water bath. 4. Chill and serve."
Mac and Cheese,Foreign,Vegetarian,"Pasta, cheese, milk, butter","Cook pasta, mix with cheese sauce.",Medium,50,2,586,6,52,3,"1. Cook macaroni. 2. Make a cheese sauce with butter, flour, milk, and cheese. 3. Mix with macaroni. 4. Bake until bubbly. 5. Serve hot."
Lobster Roll,Foreign,Non-Vegetarian,"Lobster, mayo, buttered bun","Mix lobster with mayo, serve in bun.",Medium,40,2,554,21,59,4,"1. Cook and chop lobster meat. 2. Mix with mayo, lemon juice, and herbs. 3. Fill a buttered roll. 4. Serve with fries."
Sauerbraten,Foreign,Non-Vegetarian,"Beef, vinegar, spices","Marinate beef, slow-cook.",Mild,10,3,444,9,51,16,1. Marinate beef in vinegar and spices for days. 2. Brown the meat and simmer in the marinade. 3. Serve with gravy and potatoes.
Ceviche,Foreign,Non-Vegetarian,"Fish, lime, onions, chili","Marinate fish in lime juice, serve cold.",Mild,55,3,554,4,37,11,"1. Marinate raw fish in lime juice. 2. Add onions, cilantro, and chili. 3. Chill and serve with corn or sweet potato."
Arepa,Foreign,Vegetarian,"Cornmeal, water, salt","Make dough, grill till golden.",Mild,40,2,543,13,27,5,"1. Mix cornmeal, water, and salt into a dough. 2. Shape into discs and cook on a skillet. 3. Slice and fill with cheese or meat. 4. Serve warm."
Empanada,Foreign,Vegetarian,"Dough, meat/cheese filling","Fill dough, fold, bake or fry.",Mild,45,2,499,30,46,18,1. Prepare dough with flour and butter. 2. Fill with spiced meat or veggies. 3. Fold and seal. 4. Bake or fry until golden. 5. Serve with salsa.
Churros,Foreign,Vegetarian,"Flour, sugar, cinnamon, oil","Pipe dough, fry, coat in sugar.",Medium,60,3,523,21,40,20,"1. Boil water, butter, and flour to make dough. 2. Pipe into hot oil and fry. 3. Coat with sugar. 4. Serve with chocolate sauce."
Baba Ganoush,Foreign,Low-Carb,"Eggplant, tahini, garlic","Roast eggplant, blend with spices.",High,45,1,502,24,46,21,"1. Roast eggplant until soft. 2. Blend with tahini, garlic, and lemon juice. 3. Season with salt and olive oil. 4. Serve with pita bread."
Bruschetta,Foreign,Vegetarian,"Bread, tomatoes, garlic, basil","Toast bread, top with tomato mixture.",Mild,50,4,465,23,40,22,"1. Toast bread slices. 2. Top with chopped tomatoes, basil, and garlic. 3. Drizzle with olive oil. 4. Serve as an appetizer."
Peking Duck,Foreign,High-Protein,"Duck, hoisin sauce, pancakes","Roast duck, serve in pancakes.",Mild,35,1,396,20,63,13,"1. Marinate duck with spices. 2. Roast until crispy. 3. Slice and serve with pancakes, hoisin sauce, and scallions."
Satay,Foreign,High-Protein,"Chicken skewers, peanut sauce","Grill skewers, serve with sauce.",Mild,25,1,297,2,45,25,1. Marinate meat in a spiced peanut sauce. 2. Skewer and grill. 3. Serve with peanut dipping sauce.
Tempura,Foreign,Vegetarian,"Shrimp/veggies, flour, egg","Dip in batter, deep-fry.",High,25,4,280,28,35,14,"1. Mix flour, egg, and ice water for batter. 2. Dip veggies or seafood in batter. 3. Fry until crispy. 4. Serve with dipping sauce."
Jambalaya,Foreign,Non-Vegetarian,"Rice, shrimp/chicken, bell peppers",Cook rice with proteins and spices.,Mild,40,2,167,12,47,17,"1. Sauté onions, bell peppers, and celery. 2. Add rice, broth, and spices. 3. Add meat and seafood. 4. Simmer until rice is cooked. 5. Serve hot."
Borscht,Foreign,Vegetarian,"Beets, beef, cabbage, sour cream","Boil beets, add broth, serve with cream.",Medium,45,1,444,16,32,13,"1. Cook beets, cabbage, and potatoes in broth. 2. Add tomatoes and vinegar. 3. Simmer until tender. 4. Serve with sour cream."
Pierogi,Foreign,Vegetarian,"Dough, potato/cheese filling","Fill dough, boil, then fry.",High,50,4,311,30,29,25,1. Prepare dough with flour and water. 2. Fill with mashed potatoes or cheese. 3. Boil and fry. 4. Serve with sour cream.
Tiramisu,Foreign,Vegetarian,"Mascarpone, coffee, ladyfingers","Layer biscuits & cream, chill.",High,45,2,353,23,17,3,1. Layer coffee-soaked ladyfingers and mascarpone cream. 2. Dust with cocoa powder. 3. Chill for hours. 4. Serve cold.
SoufflâˆšÂ©,Foreign,High-Protein,"Eggs, sugar, butter, flour","Whisk, bake until puffy.",Mild,45,1,393,30,32,3,"1. Prepare a base with butter, flour, and milk. 2. Fold in whipped egg whites. 3. Bake until risen. 4. Serve immediately."
Eclairs,Foreign,Vegetarian,"Choux pastry, cream, chocolate","Bake, fill with cream, coat with chocolate.",High,50,4,320,12,70,3,1. Make choux pastry and pipe into logs. 2. Bake until puffed. 3. Fill with pastry cream. 4. Top with chocolate glaze.
Tzatziki,Foreign,High-Protein,"Yogurt, cucumber, garlic","Mix all ingredients, chill.",Mild,15,2,299,9,35,1,"1. Grate cucumber and squeeze out water. 2. Mix with yogurt, garlic, and olive oil. 3. Season with salt and dill. 4. Serve as a dip."
Couscous,Foreign,Vegetarian,"Couscous, veggies, broth","Steam with broth, fluff with fork.",High,55,2,196,30,32,7,"1. Cook couscous in boiling water. 2. Fluff with a fork. 3. Add veggies, herbs, and olive oil. 4. Serve as a side dish."
Mole,Foreign,Vegetarian,"Chocolate, chili, spices, chicken","Simmer sauce, coat over meat.",High,15,1,394,18,37,1,"1. Toast and blend spices, nuts, and chocolate. 2. Cook with broth until thickened. 3. Serve over chicken or rice."
Clam Chowder,Foreign,High-Protein,"Clams, potatoes, cream, bacon",Simmer clams in creamy broth.,High,20,4,236,19,67,20,"1. Sauté onions, celery, and potatoes. 2. Add clams and broth. 3. Simmer until tender. 4. Add cream and season. 5. Serve with bread."
Maggi,Easy to Cook,Vegetarian,"Maggi noodles, water, masala","Boil water, add noodles & masala, cook for 2 mins.",Mild,45,3,512,25,63,11,1. Boil water in a pan. 2. Add Maggi noodles and cook for 2 minutes. 3. Add the tastemaker and stir. 4. Cook until the water evaporates. 5. Serve hot.
Upma,Easy to Cook,Vegetarian,"Semolina, mustard seeds, veggies","Roast semolina, cook with tempered spices & veggies.",High,60,3,131,10,39,8,"1. Roast rava (semolina) in ghee until aromatic. 2. Sauté mustard seeds, urad dal, onions, and green chilies. 3. Add water and salt, bring to a boil. 4. Add roasted rava and cook until soft. 5. Garnish with coriander leaves. Serve with chutney."
Poha,Easy to Cook,Vegetarian,"Flattened rice, peanuts, onion","Soak poha, sautÃˆ with spices & veggies.",Mild,30,3,241,24,27,24,"1. Rinse flattened rice (poha) and drain. 2. Sauté mustard seeds, curry leaves, onions, and green chilies. 3. Add turmeric and poha, mix well. 4. Cook for 2-3 minutes. 5. Garnish with coriander and lemon juice. Serve hot."
Egg Curry,Easy to Cook,High-Protein,"Eggs, onion, tomato, spices","Boil eggs, cook in spiced gravy.",Medium,45,2,376,13,79,15,"1. Boil eggs and peel them. 2. Sauté onions, tomatoes, and spices. 3. Add water and simmer to make gravy. 4. Add boiled eggs and cook for 5 minutes. 5. Garnish with coriander. Serve with rice or roti."
Dal Fry,Easy to Cook,High-Protein,"Lentils, onion, garlic, tomato","Boil lentils, temper with spices.",High,35,4,589,25,15,4,"1. Cook toor dal with turmeric and salt. 2. Temper mustard seeds, cumin seeds, garlic, and red chilies in ghee. 3. Add the tempering to the dal. 4. Garnish with coriander. 5. Serve with rice or roti."
Khichdi,Easy to Cook,High-Protein,"Rice, lentils, veggies, ghee",Cook rice & dal with veggies & spices.,Mild,10,4,537,17,68,20,"1. Cook rice and moong dal with turmeric and salt. 2. Temper cumin seeds, asafoetida, and ghee. 3. Add the tempering to the khichdi. 4. Serve with curd or pickle."
Aloo Bhujia,Easy to Cook,Vegetarian,"Potatoes, oil, spices",Fry potatoes with spices till crispy.,Mild,35,4,341,21,48,12,1. Peel and slice potatoes thinly. 2. Heat oil and fry the slices until crispy. 3. Drain excess oil and sprinkle salt and spices. 4. Cool and store in an airtight container.
Sprout Salad,Easy to Cook,High-Protein,"Sprouts, onion, tomato, lemon",Mix sprouts with veggies & lemon juice.,High,30,1,424,23,25,10,"1. Mix sprouted lentils with chopped veggies (cucumber, tomato, onion). 2. Add lemon juice, salt, and chaat masala. 3. Toss well. 4. Serve fresh."
Oats Porridge,Easy to Cook,High-Fiber,"Oats, milk, honey, nuts","Cook oats with milk, top with honey & nuts.",Mild,15,3,425,7,15,24,1. Boil water or milk in a pan. 2. Add oats and cook until soft. 3. Add sugar or salt as per taste. 4. Garnish with nuts or fruits. 5. Serve warm.
Peanut Chaat,Easy to Cook,Vegetarian,"Peanuts, onion, tomato, lemon",Toss roasted peanuts with spices & veggies.,Medium,25,4,597,21,28,17,"1. Roast peanuts until crunchy. 2. Mix with chopped onions, tomatoes, and green chilies. 3. Add lemon juice, salt, and chaat masala. 4. Toss well. 5. Serve fresh."
Vegetable Sandwich,Easy to Cook,Vegetarian,"Bread, butter, veggies, cheese",Assemble veggies & cheese between buttered bread.,Medium,20,3,280,18,61,16,"1. Spread butter on bread slices. 2. Layer with sliced veggies (cucumber, tomato, lettuce). 3. Add green chutney or mayo. 4. Cover with another bread slice. 5. Grill or serve as is."
Rava Dosa,Easy to Cook,Vegetarian,"Semolina, rice flour, yogurt","Make batter, spread thin on hot pan, cook.",High,45,1,481,29,29,25,"1. Mix rava, rice flour, and buttermilk into a batter. 2. Add chopped onions, green chilies, and curry leaves. 3. Heat a tawa, pour the batter, and spread thinly. 4. Cook until crispy. 5. Serve with chutney."
Curd Rice,Easy to Cook,High-Probiotic,"Rice, curd, mustard, curry leaves","Mix rice with curd, temper with spices.",Medium,25,1,420,10,31,19,"1. Cook rice and let it cool. 2. Mix curd (yogurt) with the rice. 3. Temper mustard seeds, urad dal, curry leaves, and green chilies in oil. 4. Add the tempering to the curd rice. 5. Garnish with grated carrots or pomegranate seeds. Serve chilled."
Lemon Rice,Easy to Cook,Vegetarian,"Rice, lemon, mustard seeds, turmeric","SautÃˆ spices, mix with rice & lemon juice.",High,35,4,321,7,75,15,"1. Cook rice and let it cool. 2. Temper mustard seeds, urad dal, curry leaves, and green chilies in oil. 3. Add turmeric and lemon juice. 4. Mix with the rice. 5. Serve with papad or pickle."
Tamarind Rice,Easy to Cook,Vegetarian,"Rice, tamarind, mustard, chilies","Cook rice, mix with tamarind-spiced mix.",Mild,20,4,110,4,77,11,"1. Cook rice and let it cool. 2. Prepare tamarind paste with spices and jaggery. 3. Temper mustard seeds, curry leaves, and peanuts in oil. 4. Mix the tamarind paste and tempering with the rice. 5. Serve with papad or curd."
Besan Chilla,Easy to Cook,High-Protein,"Gram flour, spices, onion","Make batter, cook like pancakes.",Mild,30,2,198,18,33,21,"1. Mix besan, water, and spices into a batter. 2. Pour on a hot tawa and cook like a pancake. 3. Add chopped vegetables (optional). 4. Serve with chutney."
Banana Pancake,Easy to Cook,Vegetarian,"Banana, flour, milk, eggs","Mix batter, cook on a pan till golden.",High,30,1,274,17,75,12,"1. Mash bananas and mix with flour, milk, and sugar. 2. Heat a pan, pour the batter, and cook until bubbles form. 3. Flip and cook the other side. 4. Serve with honey or syrup."
Idiyappam,Easy to Cook,Vegetarian,"Rice flour, water, salt","Make dough, press into strings, steam.",Medium,20,4,273,26,69,23,1. Mix rice flour with hot water to make dough. 2. Press the dough through an idiyappam maker onto steamer plates. 3. Steam for 5-7 minutes. 4. Serve with coconut milk or curry.
Boiled Egg,Easy to Cook,High-Protein,"Eggs, water, salt",Boil eggs in water for 10 mins.,High,35,4,598,6,56,14,1. Place eggs in a pot of water. 2. Boil for 8-10 minutes. 3. Remove and cool in cold water. 4. Peel and serve with salt and pepper.
Fried Rice,Easy to Cook,Vegetarian,"Rice, veggies, soy sauce","SautÃˆ veggies, mix with cooked rice.",Mild,10,2,289,28,40,7,"1. Cook rice and let it cool. 2. Sauté veggies (carrots, beans, peas) in oil. 3. Add soy sauce, vinegar, and salt. 4. Mix with the rice and cook for 2-3 minutes. 5. Serve hot."
Tomato Soup,Easy to Cook,Vegetarian,"Tomatoes, garlic, butter","Blend cooked tomatoes, season & simmer.",Mild,40,4,552,6,30,9,1. Boil tomatoes with water and blend into a puree. 2. Strain and cook with salt and pepper. 3. Add butter or cream. 4. Garnish with croutons or coriander. 5. Serve hot.
Garlic Bread,Easy to Cook,Vegetarian,"Bread, garlic, butter","Spread garlic butter, toast till crispy.",Mild,25,4,208,27,32,3,"1. Mix butter, garlic, and herbs. 2. Spread on bread slices. 3. Bake or toast until golden. 4. Serve hot."
Masala Papad,Easy to Cook,Low-Calorie,"Papad, onion, tomato, chili","Fry/roast papad, top with spiced veggies.",Mild,20,3,280,16,40,19,"1. Roast papad on a flame or in a microwave. 2. Top with chopped onions, tomatoes, and spices. 3. Add a squeeze of lemon juice. 4. Serve as a snack."
Onion Pakora,Easy to Cook,Vegetarian,"Onion, gram flour, spices","Mix, fry in hot oil till crisp.",Medium,10,1,403,12,72,8,"1. Mix sliced onions with besan, spices, and water. 2. Heat oil and drop spoonfuls of the mixture. 3. Fry until golden brown. 4. Drain excess oil. 5. Serve with chutney."
Cornflakes,Easy to Cook,Vegetarian,"Cornflakes, milk, honey",Serve cornflakes with milk & honey.,High,60,1,337,3,74,2,1. Pour cornflakes into a bowl. 2. Add cold or warm milk. 3. Add sugar or fruits (optional). 4. Serve immediately.
Puffed Rice,Easy to Cook,Low-Calorie,"Puffed rice, peanuts, spices",Mix with roasted peanuts & masala.,Mild,50,1,593,21,14,5,"1. Dry roast puffed rice in a pan. 2. Mix with chopped onions, tomatoes, and green chilies. 3. Add lemon juice, salt, and chaat masala. 4. Toss well. 5. Serve fresh."
Stuffed Paratha,Easy to Cook,Vegetarian,"Wheat flour, potato/paneer stuffing, ghee, curd/pickle","Stuff dough, roll, cook on pan.",Medium,50,4,123,7,72,15,1. Prepare dough with wheat flour and water. 2. Stuff with spiced potato or paneer mixture. 3. Roll into discs and cook on a tawa. 4. Brush with ghee. 5. Serve with curd or pickle.
Egg Bhurji,Easy to Cook,High-Protein,"Eggs, onion, spices",Scramble eggs with spices.,High,25,3,318,13,74,10,"1. Sauté onions, tomatoes, and green chilies. 2. Beat eggs and pour into the pan. 3. Scramble until cooked. 4. Garnish with coriander. 5. Serve with roti or bread."
Vegetable Pulao,Easy to Cook,Vegetarian,"Rice, veggies, spices",Cook rice with veggies & whole spices.,High,30,1,411,14,43,3,"1. Sauté whole spices, onions, and veggies in oil. 2. Add rice and water. 3. Cook until the rice is done. 4. Garnish with coriander. 5. Serve with raita."
Sabudana Khichdi,Easy to Cook,Vegetarian,"Sabudana, peanuts, potato","Soak sabudana, cook with peanuts & spices.",High,55,3,515,27,37,17,"1. Soak sabudana for 2-3 hours. 2. Temper cumin seeds, green chilies, and peanuts in oil. 3. Add sabudana and cook until translucent. 4. Add salt and lemon juice. 5. Serve hot."
Vegetable Wrap,Easy to Cook,Vegetarian,"Tortilla, veggies, sauce","Fill tortilla with veggies, wrap.",Mild,45,3,366,23,73,6,1. Spread green chutney or mayo on a tortilla. 2. Layer with sliced veggies and paneer. 3. Roll tightly. 4. Grill or serve as is.
Paneer Bhurji,Easy to Cook,High-Protein,"Paneer, onion, tomato, spices","Crumble paneer, cook with spices.",Medium,55,4,590,22,56,3,"1. Crumble paneer and sauté with onions, tomatoes, and spices. 2. Cook until dry. 3. Garnish with coriander. 4. Serve with roti or paratha."
Fruit Salad,Easy to Cook,High-Fiber,"Fruits, honey, lemon juice","Chop fruits, mix with honey & lemon.",High,40,4,132,16,62,18,"1. Chop mixed fruits (apple, banana, grapes, etc.). 2. Add honey or yogurt. 3. Toss well. 4. Chill and serve."
Grilled Cheese Sandwich,Easy to Cook,Vegetarian,"Bread, butter, cheese","Butter bread, grill with cheese inside.",High,12,4,267,28,68,14,1. Spread butter on bread slices. 2. Add cheese slices. 3. Grill until the cheese melts. 4. Serve hot.
Instant Noodles,Easy to Cook,Vegetarian,"Noodles, hot water, masala","Boil noodles, mix in masala.",Medium,55,1,233,5,78,2,1. Boil water and add noodles. 2. Cook for 2-3 minutes. 3. Add the tastemaker and stir. 4. Serve hot.
Milkshake,Easy to Cook,High-Calorie,"Milk, sugar, fruits",Blend all together till smooth.,Mild,35,2,501,9,15,22,"1. Blend milk, ice cream, and fruits. 2. Pour into a glass. 3. Top with whipped cream (optional). 4. Serve chilled."
Scrambled Eggs,Easy to Cook,High-Protein,"Eggs, butter, salt, pepper",Cook beaten eggs with butter.,Medium,35,3,465,23,51,8,1. Beat eggs with salt and pepper. 2. Cook in a pan with butter. 3. Scramble until soft and fluffy. 4. Serve with toast.
Yogurt Smoothie,Easy to Cook,High-Probiotic,"Yogurt, fruit, honey",Blend yogurt & fruits till smooth.,High,40,2,157,18,25,11,"1. Blend yogurt, fruits, and honey. 2. Add ice cubes (optional). 3. Pour into a glass. 4. Serve chilled."
Pasta Salad,Easy to Cook,Vegetarian,"Pasta, veggies, dressing","Cook pasta, mix with veggies & dressing.",Mild,60,4,575,19,60,23,1. Cook pasta and let it cool. 2. Mix with chopped veggies and dressing. 3. Toss well. 4. Chill and serve.
Vegetable Stir Fry,Easy to Cook,Low-Calorie,"Veggies, soy sauce, garlic",Stir-fry veggies with garlic & sauce.,High,40,1,220,3,36,18,"1. Sauté veggies (broccoli, carrots, bell peppers) in oil. 2. Add soy sauce and spices. 3. Cook until tender. 4. Serve hot."
Rice Pudding,Easy to Cook,High-Calorie,"Rice, milk, sugar, nuts","Cook rice in milk, add sugar & nuts.",High,55,3,498,3,29,5,1. Cook rice with milk and sugar. 2. Add cardamom and nuts. 3. Simmer until thickened. 4. Serve warm or cold.
Bread Omlette,Easy to Cook,Non-Vegetarian,"Bread slices, eggs, onions, tomatoes, green chilies, salt, pepper, butter, coriander leaves","Beat eggs with spices, cook on a pan, place bread inside, fold, and serve",Mild,10,3,300,15,25,12,"1. Beat eggs with salt, pepper, chopped onions, tomatoes, and green chilies. 2. Heat butter in a pan, pour the egg mixture. 3. Place bread slices on top and cook. 4. Flip, fold, and serve hot."
Coconut Milk,Easy to Cook,Vegetarian,"Fresh coconut, warm water, sugar (optional)","Blend grated coconut with warm water, strain, and extract milk",None,10,3,150,2,4,14,1. Blend grated coconut with warm water. 2. Strain using a muslin cloth or fine sieve. 3. Collect the milk and use as needed. 4. Sweeten if desired.
Kambu Kool,Easy to Cook,Vegetarian,"Pearl millet (kambu), buttermilk, salt, small onions","Cook millet, cool, mix with buttermilk and onions",Mild,40,3,250,8,45,2,"1. Wash and cook pearl millet in water until soft. 2. Allow it to cool, mash well. 3. Mix with buttermilk, salt, and chopped onions. 4. Serve chilled."
Ragi Kool,Easy to Cook,Vegetarian,"Finger millet flour (ragi), water, buttermilk, salt","Cook ragi flour into a porridge, cool, mix with buttermilk",Mild,30,3,220,7,50,1,1. Mix ragi flour with water and cook until thick. 2. Allow to cool and set. 3. Mix with buttermilk and salt. 4. Serve chilled.
Ice Cream,Easy to Cook,Vegetarian,"Milk, sugar, cream, vanilla extract (or flavor of choice)","Blend ingredients, freeze until set",None,120,3,200,3,25,10,"1. Mix milk, sugar, and cream in a bowl. 2. Add vanilla or any preferred flavor. 3. Blend well and pour into a container. 4. Freeze for at least 4 hours. 5. Scoop and serve."
Rice Kheer,Easy to Cook,High-Calorie,"Rice, milk, sugar, cardamom","Cook rice in milk, add sugar & spices.",Mild,35,4,568,15,79,7,1. Cook rice with milk and sugar. 2. Add cardamom and nuts. 3. Simmer until thickened. 4. Serve warm or cold.
Banana Smoothie,Easy to Cook,High-Fiber,"Banana, milk, honey",Blend all together till creamy.,High,45,4,362,10,27,6,"1. Blend bananas, milk, and honey. 2. Add ice cubes (optional). 3. Pour into a glass. 4. Serve chilled."
Mango Lassi,Easy to Cook,High-Probiotic,"Mango, yogurt, sugar",Blend mango with yogurt & sugar.,Medium,10,4,128,8,50,15,"1. Blend mango pulp, yogurt, and sugar. 2. Add ice cubes (optional). 3. Pour into a glass. 4. Serve chilled."
Cucumber Raita,Easy to Cook,Vegetarian,"Yogurt, cucumber, spices","Grate cucumber, mix with yogurt & spices.",Medium,20,3,314,29,14,11,"1. Grate cucumber and squeeze out water. 2. Mix with yogurt, salt, and roasted cumin. 3. Serve chilled."
Rose Milk,Easy to Cook,Vegetarian,"Milk, rose syrup, sugar, cardamom (optional), ice cubes",Mix rose syrup and sugar with chilled milk,Mild,5,1,150,5,25,4,1. Take chilled milk in a glass. 2. Add rose syrup and sugar. 3. Mix well until combined. 4. Add ice cubes and serve chilled.
Badam Milk,Easy to Cook,Vegetarian,"Milk, almonds (badam), sugar, saffron, cardamom powder",Blend almonds into a paste and mix with warm milk and sugar,Mild,15,1,200,8,28,6,"1. Soak almonds in warm water for 30 minutes and peel the skin. 2. Grind almonds into a smooth paste with little milk. 3. Heat milk in a pan and add almond paste, sugar, saffron, and cardamom powder. 4. Simmer for 5 minutes while stirring. 5. Serve warm or chilled."
Nannari Sarbath,Easy to Cook,Vegetarian,"Nannari syrup, lemon juice, sugar, cold water, ice cubes","Mix nannari syrup, lemon juice, and sugar in cold water",Mild,5,1,120,1,30,0,1. Take a glass of cold water. 2. Add nannari syrup and sugar. 3. Mix well until sugar dissolves. 4. Add lemon juice and ice cubes. 5. Serve chilled.
Mutta Mittai,Easy to Cook,Non-Vegetarian,"Eggs, sugar, cardamom powder, ghee, flour (optional)",Beat eggs with sugar and cook in ghee until fluffy,Mild,20,1,300,10,40,12,1. Beat eggs with sugar until fluffy. 2. Heat ghee in a pan and add the egg mixture. 3. Stir continuously on low flame. 4. Add cardamom powder and cook until thick. 5. Cut into pieces and serve.
Custard,Easy to Cook,Vegetarian,"Milk, custard powder, sugar, vanilla essence, chopped fruits (banana, apple, mango, pomegranate)","Cook custard powder with milk and sugar, then chill and mix with fruits",Mild,30,1,250,6,40,5,"1. Mix custard powder with a little milk to form a smooth paste. 2. Boil the remaining milk and add sugar. 3. Add the custard paste and stir continuously. 4. Simmer until thick and smooth. 5. Let it cool, then refrigerate. 6. Add chopped fruits before serving."
Tomato Chutney,Easy to Cook,Low-Calorie,"Tomato, garlic, chilies",Blend cooked tomatoes with spices.,Mild,30,2,429,4,47,2,"1. Sauté tomatoes, onions, and spices. 2. Blend into a smooth paste. 3. Temper mustard seeds and curry leaves in oil. 4. Add the tempering to the chutney. 5. Serve with dosa or idli."
